image_name,x1,x2,y1,y2
JPEG_20160517_140621_1000651031832.png,75,467,89,446
1473231510890DeeplearnS11456.png,64,564,149,353
1476881557883Untitled1.png,18,574,118,368
1474264827890cobalt-beyond-the-sea-maxi-dress3.png,14,637,141,331
JPEG_20160711_113321_1000235741992.png,231,433,76,456
147954714706311.png,21,608,44,372
JPEG_20161117_154532_1000146348308.png,176,554,140,358
1469052256414DSC_0653.png,17,632,0,480
14581478747652.png,175,446,97,376
JPEG_20161207_165644_1000961805303.png,52,502,66,382
JPEG_20161118_190252_1000475666188.png,129,477,44,422
JPEG_20161123_181824_1000611096667.png,287,402,55,417
JPEG_20160526_150511_100091994275.png,109,426,0,459
1476878834852Untitled1.png,41,640,48,457
1470747128351DSC_0256.png,144,534,43,426
1469516484508DSC_0431_1.png,31,618,32,467
1475009449259DSC020551.png,27,622,91,370
147437487175911471341993644-Roadster-Cream-Coloured-Printed-T-shirt-8851471341993393-4.png,14,640,146,338
1475559143203mocha-chasing-summer-maxi-dress.png,18,638,149,344
147436763182011469615979143-Roadster-Blue-Skinny-Fit-Jeans-7871469615978787-1.png,10,640,79,352
1471594607670DSC_0103.png,23,633,163,316
JPEG_20161210_125104_1000144436971.png,71,544,49,368
147437508529811470139727518-Roadster-Navy-Hooded-Sweatshirt-6141470139727398-5.png,0,640,0,474
1473405665976black-always-open-back-midi-dress.png,23,640,154,339
JPEG_20161128_170230_1000366955179.png,35,545,193,307
JPEG_20161007_152608_1000228164735.png,38,616,172,349
147445039931011472642879846-Roadster-Women-Green-Checked-Shirt-Dress-5591472642879643-2.png,19,640,102,410
1476773560971DSC_8789.png,190,578,10,444
JPEG_20160611_120832_1000308675808.png,83,562,94,356
JPEG_20161126_144054_1000330319257.png,68,528,136,356
1472824149661DSC_3380.png,80,606,70,390
1467893191516DSC_0010.png,108,608,170,338
JPEG_20161124_171639_1000992177080.png,226,436,66,385
14714399918512.png,15,626,49,438
147444877948011471678765025-Roadster-Men-Light-Brown-Printed-T-shirt-4741471678764782-2.png,0,640,72,407
1467815275518DSC_0191.png,214,420,137,404
JPEG_20160929_113805_1000323994545.png,57,554,122,426
1474273419910MS-8502372.png,28,640,57,478
1479455928674Sin16-11-201611360.png,24,640,73,466
1474101498756black-olvera-open-back-maxi-dress.png,15,640,156,335
1474118108544BRT467334.png,32,640,67,430
147443857529811470052091818-RDSTR-Grey-Casual-Shirt-71470052101703-3.png,0,640,65,402
147444584239111469619096559-Roadster-Men-Casual-Shoes-9011469619096471-5.png,53,640,55,415
147142993226120160423_175742.png,141,576,127,357
JPEG_20160628_132756_1000139640802.png,112,447,120,380
1467785369215DSC_0019.png,207,426,101,370
147771707740120161028_153434.png,113,512,15,376
1474272589082NEL793066.png,18,573,23,436
147742431796620161025_142621.png,106,449,156,335
1479747460474SpringField16-11-201610890.png,1,640,100,395
JPEG_20160607_161754_100010819310.png,96,558,134,347
JPEG_20161025_124252_1000655486064.png,62,549,46,457
1474264604326coral-happily-ever-after-day-dress4.png,27,640,149,325
JPEG_20161123_131331_1000615275006.png,201,410,13,409
1472826035474DSC_3497.png,21,622,94,388
147771738670920161028_170650.png,72,599,63,471
1480502261060IMG_20161129_193613.png,32,631,84,353
JPEG_20160711_113533_1000157417450.png,69,607,137,328
JPEG_20160625_165009_1000802034298.png,129,562,160,320
1472553605548DSC_2022.png,72,565,0,405
1476774482036DSC_8658.png,121,565,19,436
147394330286111472637793392-Roadster-Men-Navy-Blue-Regular-Fit-Checked-Casual-Shirt-491472637793040-4.png,24,640,144,354
1472137733941DSC_0129.png,51,607,32,461
JPEG_20161124_185636_1000504616616.png,86,559,38,451
1470734265686DSC_0039.png,53,554,89,394
1480944164079_R2A1976.png,42,484,28,403
1475156977768DSC06936.png,199,427,52,407
1472630156514m1livi316_charcoal_l_alt_2.png,1,640,66,406
JPEG_20161028_103436_1000918087117.png,227,461,70,385
1480176547431Kraus22-11-1613931.png,60,629,148,356
1480513991329IMG_0475.png,51,501,105,326
1467739874045DSC_0042.png,191,524,176,297
1469616520171JPEG_20160625_105444_1000414323083.png,217,572,166,335
JPEG_20160907_155530_1000157912079.png,201,545,20,451
1480510999675IMG_0247.png,98,478,27,386
147323534845259859_XXX_v1.png,106,453,0,470
1473409219651black-around-about-tunic-dress2.png,10,640,84,343
1473317684684DeeplearnS11226.png,111,531,2,469
JPEG_20160526_132324_1000832397711.png,38,552,0,476
1476884855486DSC_6411.png,98,610,84,428
JPEG_20160629_162656_1000960108789.png,75,461,211,405
JPEG_20160712_163754_1000665053047.png,89,470,78,439
147772369111320161028_164048.png,147,539,10,465
1475158045358DSC06932.png,65,621,23,413
1467896178064DSC_0958.png,64,616,123,360
JPEG_20161127_173150_1000534550405.png,221,401,75,401
JPEG_20161121_194048_1000613681810.png,221,419,33,480
1462875765003DSC_0487.png,270,497,90,280
JPEG_20160703_155045_1000203470972.png,174,524,166,368
JPEG_20160629_101156_1000325247520.png,197,412,74,391
JPEG_20160810_115430_1000314779140.png,192,450,49,438
1474632358838DSC06202.png,151,573,66,402
JPEG_20160823_121917_1000911636586.png,68,520,43,427
1473486297514DeeplearnS11797.png,48,582,122,349
JPEG_20160820_112743_1000875312594.png,262,407,18,465
1474636817133DSC06477.png,53,595,74,274
1472042924728w_molokini_ii_blk_grl_01.png,149,516,213,403
JPEG_20160623_144800_1000970763843.png,56,582,230,310
JPEG_20160831_161020_1000748623351.png,299,507,23,478
1473749254824IMG_0411.png,39,587,81,398
1472287217276DSC_1730.png,54,609,0,450
1470729840105DSC_0063.png,80,517,1,465
JPEG_20160823_115408_1000201910416.png,78,584,63,335
JPEG_20161116_155004_1000379775086.png,129,536,67,400
1481106693146DSC_4487.png,36,640,21,469
JPEG_20161130_151152_1000921678384.png,28,575,23,447
1467893737079DSC_0285.png,218,465,21,381
JPEG_20160307_144804_1305084242.png,139,588,8,436
1472623130376DSC_2567.png,171,495,169,343
147444056812811470114960000-Roadster-Maroon--Navy-Striped-Sweater-5791470114959705-1.png,7,640,49,410
JPEG_20161114_150125_1000836636215.png,31,576,95,405
14583339612162.png,165,475,133,350
147436768850511469605732000-Roadster-Blue-Washed-Skinny-Fit-Jeans-6811469605731797-4.png,5,616,129,313
1474724253000DSC08127.png,46,631,83,404
JPEG_20161118_170823_100051799298.png,213,429,34,405
14714440414121.png,76,610,62,410
147771840081020161028_151101.png,52,558,136,401
1473433688020DSC_4695.png,5,625,172,423
JPEG_20160702_160902_100079536384.png,164,481,159,320
JPEG_20160530_161715_1000725768833.png,95,515,132,353
1469615983959JPEG_20160625_131843_1000432908925.png,199,529,81,386
JPEG_20160624_123333_1000159783270.png,92,613,123,373
14720365240181273837-mast-harbour-32-1000x1000-imaekbtn4rggqhz2.png,8,629,90,377
1480337089447_R2A3970.png,227,531,100,434
1475007856257DSC020311.png,78,509,5,431
JPEG_20160821_150517_1000946709983.png,145,500,58,420
1475559190161grey-eryca-cut-out-mini-dress2.png,17,640,58,404
1468881578713DSC_0135.png,53,611,78,380
JPEG_20161126_130457_1000707556690.png,82,593,109,318
1479159357371SinDenim12-11-20167077.png,25,580,130,332
1480512374495IMG_0157.png,111,590,82,289
1480337038069_R2A3958.png,150,484,171,378
JPEG_20161118_134421_1000734339203.png,189,555,97,368
1468667904515JPEG_20160712_150011_1000777550559.png,151,531,24,366
JPEG_20161210_160925_100054350374.png,149,534,175,285
JPEG_20161202_154146_1000397023169.png,80,534,158,292
1480333762480_R2A3583.png,157,450,76,405
1472628367783w_superfeet_outside_storm_05.png,222,426,202,431
JPEG_20160622_105919_1000778788230.png,99,569,161,321
1471617584458DSC_0333.png,34,593,30,465
147771934755620161028_142208.png,82,455,19,437
1468479669350JPEG_20160630_170333_1000913543632.png,131,481,146,347
147742636227820161025_163124.png,40,399,187,390
JPEG_20161126_141411_1000849920239.png,83,558,39,451
1481261065966DSC_0393.png,68,602,75,410
1481112686959DSC_0002erg.png,95,595,32,427
1475062036404DSC00199.png,239,441,79,426
1479461850379soi15-11-20169812.png,51,556,153,292
1480938390157_R2A1872.png,146,599,11,437
1481107497117DSC_4499.png,30,634,61,409
JPEG_20160630_121601_1000577795476.png,53,588,172,357
JPEG_20160625_171742_1000952843140.png,181,414,97,309
1472631350899DSC_2644.png,39,634,87,388
147339961466361309_XXX_v1.png,40,577,128,377
JPEG_20161015_143619_1000107917452.png,26,605,97,418
JPEG_20160712_105100_1000135330261.png,273,397,7,463
JPEG_20161125_150243_1000606144519.png,106,510,76,424
1473415847766black-fully-flared-day-dress4.png,0,640,142,348
1471420705350IMG_20160810_210448.png,50,613,142,311
1472056695057DSC_0310.png,0,619,1,418
147651102654403.png,54,612,6,442
JPEG_20160513_151257_1000754585258.png,168,510,34,473
1473665287134DeeplearnS11341.png,38,518,32,429
JPEG_20161209_160411_1000681096449.png,267,370,12,418
1480969776335IMG_3358.png,127,626,30,436
147918805594520dresses11-11-165449.png,19,611,149,346
1473409215774black-dayna-maxi-dress2.png,1,640,118,375
1480952758013_R2A2157.png,55,640,18,435
1471937992947DSC_0154.png,127,446,132,437
JPEG_20160625_134346_1000581592794.png,220,572,164,318
1479152048469SinDenim12-11-20165639.png,24,640,145,333
1467786735073DSC_0139.png,244,389,113,342
JPEG_20160608_124641_100065741932.png,131,465,66,433
JPEG_20160627_172908_1000947860381.png,150,630,86,447
147771888747820161028_155044.png,49,578,184,358
1479748483009SpringField16-11-201610617.png,8,629,97,407
147444076102411473141048157-Roadster-Men-Grey-Printed-Round-Neck-T-Shirt-3741473141047572-4.png,24,640,122,359
1480513981529IMG_0474.png,67,484,92,345
JPEG_20160810_163025_1000736262137.png,244,386,54,413
1479460885939soi15-11-20169746.png,63,535,145,307
JPEG_20161205_134600_1000938267987.png,36,599,72,389
147323568765662741_XXX_v2.png,29,630,57,445
1467739451159DSC_0261.png,120,541,82,343
1470122321721DSC_0042.png,150,505,42,421
JPEG_20161209_161644_1000255019878.png,174,474,6,440
147772052474120161028_163115.png,39,608,128,377
1472631892350DSC_2658.png,56,623,116,409
1473665010463DeeplearnS11752.png,48,616,143,360
JPEG_20161127_172339_1000471017160.png,147,553,73,378
JPEG_20161116_171041_1000784749742.png,168,439,135,355
1479153700069SinDenim12-11-20166964.png,11,626,61,442
1469436038166DSC_0036.png,153,520,121,381
1475616005775DSC_1612.png,300,637,0,464
JPEG_20160622_134221_1000615059489.png,120,511,66,424
JPEG_20160704_135806_1000722467763.png,218,491,138,339
1473486371092DeeplearnS11819.png,94,523,150,366
147443898884811469613359562-Roadster-Blue-Washed-Denim-Shorts-4341469613359322-5.png,70,640,0,478
1474019539239TOP892998.png,101,507,111,421
JPEG_20160625_165522_1000823576080.png,209,410,111,407
147742551319520161025_160544.png,48,475,48,377
1480512539305IMG_0174.png,131,495,93,333
JPEG_20161028_110638_1000208396682.png,121,578,0,415
JPEG_20160623_125422_1000294831719.png,123,504,91,439
1479751679930SpringField16-11-201610672.png,36,628,142,351
1480516536505E-mazingshawls29-11-201618321.png,7,628,151,346
147394477122511472711261262-RDSTR-Teal-Blue-Washed-Casual-Shirt-9121472711260919-3.png,21,640,53,423
JPEG_20161109_155333_1000128796946.png,122,535,0,450
1480511287478IMG_0239.png,101,620,125,309
JPEG_20160820_131813_100087940412.png,187,498,78,394
JPEG_20160810_102736_1000866640242.png,98,510,108,364
1474274313446MS-850234.png,41,573,39,431
JPEG_20160704_123208_1000725394227.png,215,412,79,378
JPEG_20160530_193342_100055157244.png,222,318,194,347
1467897194142DSC_0134.png,31,622,16,453
1479152713437SinDenim12-11-20165996.png,43,618,170,364
1471955349402DSC_0296.png,155,491,163,354
1475060065873DSC02380.png,34,616,129,402
148053452015120161126_210416.png,69,522,77,425
JPEG_20161124_135154_1000236305845.png,93,505,104,383
JPEG_20160624_153159_100083776833.png,260,482,138,398
1467814607630DSC_0184.png,164,407,157,348
1476523775165DSC_421.png,141,499,5,468
1468495307805DSC_0205.png,21,598,45,480
1473664959826DeeplearnS11735.png,68,586,101,391
147394271132411472728811643-Roadster-Men-Blue-Colour-Blocked-Polo-Collar-T-Shirt-1081472728811427-4.png,9,640,92,439
JPEG_20160625_155222_100044385882.png,175,466,108,386
147754539594820161026_134630.png,108,528,93,427
1471442652613DSC_0214.png,25,619,157,306
JPEG_20161129_173101_1000126453203.png,39,615,86,451
1474290093395ivory-wander-off-lace-dress4.png,37,640,133,329
JPEG_20161209_134137_1000602966338.png,118,523,31,407
1479144293899SinDenim12-11-20166432.png,50,633,180,381
JPEG_20161118_174026_1000116386761.png,91,499,2,479
1467787188909DSC_0087.png,176,438,174,373
JPEG_20160622_130534_1000478846802.png,144,572,39,436
1480655096798smallsilverpaperdish-500x500.png,19,619,15,471
JPEG_20160608_144237_1000353428972.png,206,453,45,423
1480514056784IMG_0503.png,83,477,119,315
JPEG_20160627_134502_1000677144828.png,163,575,159,337
JPEG_20161120_174721_1000134550079.png,159,531,78,397
JPEG_20161126_174923_1000913432264.png,172,487,108,404
1478950701480eMazingShawls3572.png,39,626,49,392
1474701487056DSC06970.png,32,632,55,292
JPEG_20161123_185803_1000406158401.png,132,492,147,299
JPEG_20161116_182931_1000360691106.png,208,482,36,416
1468824610909JPEG_20160709_130956_1000193474291.png,109,438,61,396
JPEG_20161123_132531_1000827788808.png,130,536,0,479
1472628853998DSC_2402.png,65,633,48,448
JPEG_20161209_184012_1000955883965.png,266,389,3,404
JPEG_20160628_132917_1000711419227.png,81,497,68,375
JPEG_20160623_000831_1000856780408.png,175,539,52,435
JPEG_20161123_171143_1000588297654.png,100,585,70,342
14732359052682.png,162,477,46,469
147438206326111470886663523-Roadster-Red--Navy-Padded-Sleeveless-Jacket-3441470886663124-4.png,16,634,130,333
1473664899134DeeplearnS11700.png,87,550,131,367
1472043218984m_superfeet_outside_bison_06.png,35,617,119,393
JPEG_20160625_121504_1000332225062.png,261,380,148,443
1476789402889DSC_6657.png,21,631,0,469
JPEG_20160711_174240_1000774155487.png,265,406,29,448
1475616135482DSC_1651.png,6,631,54,434
147742518576320161025_150824.png,83,562,59,404
JPEG_20160701_151550_1000763605344.png,30,583,110,413
147445144503511471587433386-Roadster-Women-Black-Solid-Regular-Top-2871471587433219-2.png,26,629,106,349
JPEG_20160608_145421_1000825288559.png,4,640,0,480
JPEG_20161125_154105_1000442082695.png,150,467,55,382
JPEG_20161028_134422_1000707307208.png,46,608,134,344
147444603314211472723515114-Roadster-Black--White-Printed-Crepe-Top-8181472723514856-2.png,11,639,78,374
JPEG_20161207_165616_1000222163380.png,102,533,11,457
